method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,best_inwin_gap,is_top10,cumul_top10
std_gp,14,1,1NiZrCl6-1,4.48357353882267,window_max,5.378864484104329,11,False,False,0,0,0.146,0.007,False,0.7,False,0
std_gp,14,2,1BiFS-1,2.255408567311418,window_max,5.378864484104329,12,False,False,0,0,0.145,0.009,True,2.255408567311418,False,0
std_gp,14,3,1BiFTe-1,1.1786421645807315,window_max,5.378864484104329,13,False,False,0,0,0.149,0.006,True,2.255408567311418,False,0
std_gp,14,4,2PtSeO3-1,2.731538681470915,window_max,5.378864484104329,14,True,False,1,0,0.149,0.007,True,2.731538681470915,False,0
std_gp,14,5,1FeZrBr6-1,3.1640078313548248,window_max,5.378864484104329,15,False,False,1,0,0.148,0.007,False,2.731538681470915,False,0
std_gp,14,6,1InNbBr6-1,1.4734968798725645,window_max,5.378864484104329,16,False,False,1,0,0.152,0.007,True,2.731538681470915,False,0
std_gp,14,7,1ClIV-1,3.5370122177912595,window_max,5.378864484104329,17,False,False,1,0,0.151,0.006,False,2.731538681470915,False,0
std_gp,14,8,4AuF2-1,1.2860629579115832,window_max,5.378864484104329,18,False,False,1,0,0.148,0.007,True,2.731538681470915,False,0
std_gp,14,9,1ZrBr2-1,1.2763900993310338,window_max,5.378864484104329,19,False,False,1,0,0.155,0.007,True,2.731538681470915,False,0
std_gp,14,10,2AuO-1,0.8650500609296405,window_max,5.378864484104329,20,False,False,1,0,0.155,0.007,True,2.731538681470915,False,0
std_gp,14,11,2Bi2O3-2,4.095494017699753,window_max,5.378864484104329,21,False,False,1,0,0.155,0.006,False,2.731538681470915,False,0
std_gp,14,12,1Nb3Br8-1,0.9852209823288005,window_max,5.378864484104329,22,False,False,1,0,0.149,0.007,True,2.731538681470915,False,0
std_gp,14,13,1BrTeTi-1,0.76324319445811,window_max,5.378864484104329,23,False,False,1,0,0.151,0.007,True,2.731538681470915,False,0
std_gp,14,14,1HfPdCl6-1,2.4592964508247994,window_max,5.378864484104329,24,False,False,1,0,0.15,0.007,True,2.731538681470915,False,0
std_gp,14,15,1TiBr2-1,1.1656128489243553,window_max,5.378864484104329,25,False,False,1,0,0.15,0.006,True,2.731538681470915,False,0
std_gp,14,16,1BrClTi-1,1.2967061125103756,window_max,5.378864484104329,26,False,False,1,0,0.152,0.007,True,2.731538681470915,False,0
std_gp,14,17,1TiCl2-1,1.39546825384936,window_max,5.378864484104329,27,False,False,1,0,0.157,0.007,True,2.731538681470915,False,0
std_gp,14,18,2GaTe-1,1.861535360406339,window_max,5.378864484104329,28,False,False,1,0,0.161,0.007,True,2.731538681470915,False,0
std_gp,14,19,1FeHfBr6-1,3.3954886422420483,window_max,5.378864484104329,29,False,False,1,0,0.155,0.006,False,2.731538681470915,False,0
std_gp,14,20,1HfBr2-1,1.226479984244534,window_max,5.378864484104329,30,False,False,1,0,0.152,0.007,True,2.731538681470915,False,0
std_gp,14,21,2TiBr2-1,0.8173950746744714,window_max,5.378864484104329,31,False,False,1,0,0.152,0.007,True,2.731538681470915,False,0
std_gp,14,22,1NiZrI6-1,2.5608790345067733,window_max,5.378864484104329,32,False,False,1,0,0.152,0.007,True,2.731538681470915,False,0
std_gp,14,23,1MnZrI6-1,2.558950832829427,window_max,5.378864484104329,33,False,False,1,0,0.155,0.006,True,2.731538681470915,False,0
std_gp,14,24,1HfMnI6-1,2.7875769615672352,window_max,5.378864484104329,34,True,False,2,0,0.16,0.008,True,2.7875769615672352,False,0
std_gp,14,25,1PdZrBr6-1,1.9736963003367425,window_max,5.378864484104329,35,False,False,2,0,0.157,0.008,True,2.7875769615672352,False,0
std_gp,14,26,1HfPdBr6-1,2.0026056483795904,window_max,5.378864484104329,36,False,False,2,0,0.157,0.007,True,2.7875769615672352,False,0
std_gp,14,27,1Nb3Cl8-1,0.9119761913060551,window_max,5.378864484104329,37,False,False,2,0,0.16,0.006,True,2.7875769615672352,False,0
std_gp,14,28,1BiClS-1,1.7449209583971834,window_max,5.378864484104329,38,False,False,2,0,0.155,0.007,True,2.7875769615672352,False,0
