method,mae,rmse,r2,coverage_95
dkl_pretrained,0.8520883474771526,1.198112457850274,0.5571732300021719,0.8042635658914729
std_gp,0.8454160122516702,1.1198718426327647,0.6131208280725484,0.9263565891472868
dkl_cold,1.1378709773755047,1.4876441411269177,0.3172891393734908,0.9292635658914729
