method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,best_inwin_gap
dkl_finetune,18,38,2SV-4,0.6417681651128815,window_min,3.7687367572730257,48,False,False,4,0,0.196,0.006,False,0.7236707407317446
dkl_finetune,18,39,1TeNb3I7-1,1.2414712582097938,window_min,3.7687367572730257,49,False,False,4,0,0.193,0.006,True,0.7236707407317446
dkl_finetune,18,40,1PbI2-2,2.4039240888589157,window_min,3.7687367572730257,50,False,False,4,0,0.196,0.006,True,0.7236707407317446
dkl_finetune,18,41,2CrNbTe5-1,0.028550500384955324,window_min,3.7687367572730257,51,False,False,4,0,1.434,0.005,False,0.7236707407317446
dkl_finetune,18,42,2IrTaTe4-1,0.11942626360145892,window_min,3.7687367572730257,52,False,False,4,0,0.188,0.008,False,0.7236707407317446
dkl_finetune,18,43,2AgI-2,2.921885453642047,window_min,3.7687367572730257,53,False,False,4,0,0.246,0.007,True,0.7236707407317446
dkl_finetune,18,44,2AuSe-1,1.5613581775291938,window_min,3.7687367572730257,54,False,False,4,0,0.287,0.009,True,0.7236707407317446
dkl_finetune,18,45,1AlAs-1,2.028016480457723,window_min,3.7687367572730257,55,False,False,4,0,0.307,0.01,True,0.7236707407317446
dkl_finetune,18,46,1ScS2-2,1.889974462819711,window_min,3.7687367572730257,56,False,False,4,0,2.302,0.006,True,0.7236707407317446
dkl_finetune,18,47,1AgAlP2Te6-1,1.0646870790154581,window_min,3.7687367572730257,57,False,False,4,0,0.155,0.006,True,0.7236707407317446
dkl_finetune,18,48,2InSe-1,2.055278570756471,window_min,3.7687367572730257,58,False,False,4,0,0.154,0.006,True,0.7236707407317446
dkl_finetune,18,49,1BrClGe2Se2-1,2.696981068145859,window_min,3.7687367572730257,59,False,False,4,0,0.221,0.007,True,0.7236707407317446
dkl_finetune,18,50,1GeBi2Se2I4-1,1.4192116987062606,window_min,3.7687367572730257,60,False,False,4,0,0.225,0.007,True,0.7236707407317446
dkl_finetune,18,51,1VSe2-1,0.9774962167908336,window_min,3.7687367572730257,61,False,False,4,0,1.949,0.006,True,0.7236707407317446
dkl_finetune,18,52,1CoITe-1,0.9709057327877503,window_min,3.7687367572730257,62,False,False,4,0,0.154,0.006,True,0.7236707407317446
dkl_finetune,18,53,1CrTe2-2,0.8687082803736172,window_min,3.7687367572730257,63,True,False,5,0,0.159,0.006,True,0.7236707407317446
