window,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,cumul_in_window
visible_0p7_3p0,dkl_frozen,25,79,1ZnI2-3,1.6436265244667285,window,4.12197624479649,89,False,False,0,0,0.183,0.005,True,71
visible_0p7_3p0,dkl_frozen,25,80,1BiClSe-2,1.991924287584308,window,4.12197624479649,90,False,False,0,0,0.185,0.007,True,72
visible_0p7_3p0,dkl_frozen,25,81,1BiClS-2,2.2714109419767974,window,4.12197624479649,91,False,False,0,0,0.185,0.007,True,73
visible_0p7_3p0,dkl_frozen,25,82,1BiBrS-2,1.9804019187336452,window,4.12197624479649,92,False,False,0,0,0.186,0.007,True,74
visible_0p7_3p0,dkl_frozen,25,83,1BiBrSe-2,1.7416794044752069,window,4.12197624479649,93,False,False,0,0,0.186,0.005,True,75
visible_0p7_3p0,dkl_frozen,25,84,1BiClTe-2,1.1514052260022989,window,4.12197624479649,94,False,False,0,0,0.185,0.007,True,76
visible_0p7_3p0,dkl_frozen,25,85,1BiBrTe-2,1.1616007476813623,window,4.12197624479649,95,False,False,0,0,0.185,0.005,True,77
visible_0p7_3p0,dkl_frozen,25,86,1BiISe-2,1.189211344795383,window,4.12197624479649,96,False,False,0,0,0.189,0.007,True,78
visible_0p7_3p0,dkl_frozen,25,87,1BiIS-2,1.1782377123254222,window,4.12197624479649,97,False,False,0,0,0.189,0.005,True,79
visible_0p7_3p0,dkl_frozen,25,88,1AsBrTe-2,1.6619041756764845,window,4.12197624479649,98,False,False,0,0,0.188,0.007,True,80
visible_0p7_3p0,dkl_frozen,25,89,1AsClTe-2,1.8240499227720575,window,4.12197624479649,99,False,False,0,0,0.188,0.007,True,81
visible_0p7_3p0,dkl_frozen,25,90,1AsISe-2,1.0515306437580212,window,4.12197624479649,100,False,False,0,0,0.188,0.007,True,82
visible_0p7_3p0,dkl_frozen,25,91,1AsIS-2,0.8103816990398838,window,4.12197624479649,101,False,False,0,0,0.188,0.005,True,83
visible_0p7_3p0,dkl_frozen,25,92,1AsBrS-2,2.077411206629262,window,4.12197624479649,102,False,False,0,0,0.19,0.007,True,84
visible_0p7_3p0,dkl_frozen,25,93,1AsClS-2,2.4431205285554976,window,4.12197624479649,103,False,False,0,0,0.194,0.005,True,85
visible_0p7_3p0,dkl_frozen,25,94,1AsClSe-2,2.370546651333197,window,4.12197624479649,104,False,False,0,0,0.194,0.006,True,86
visible_0p7_3p0,dkl_frozen,25,95,1NiSSeZr-1,1.8805393901603975,window,4.12197624479649,105,False,False,0,0,0.197,0.005,True,87
visible_0p7_3p0,dkl_frozen,25,96,4AsPdTe-1,0.9672526925928375,window,4.12197624479649,106,False,False,0,0,0.197,0.007,True,88
visible_0p7_3p0,dkl_frozen,25,97,1AgCrP2S6-1,2.0120057332509953,window,4.12197624479649,107,False,False,0,0,0.198,0.006,True,89
visible_0p7_3p0,dkl_frozen,25,98,2AgCrP2S6-1,2.715331098741717,window,4.12197624479649,108,False,False,0,0,0.198,0.007,True,90
visible_0p7_3p0,dkl_frozen,25,99,1AgGaP2S6-1,2.284638792566074,window,4.12197624479649,109,False,False,0,0,0.198,0.005,True,91
visible_0p7_3p0,dkl_frozen,25,100,1AgAlP2S6-1,3.1320799879793046,window,4.12197624479649,110,False,False,0,0,0.198,0.006,False,91
