window,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,cumul_in_window
visible_0p7_3p0,std_gp,0,39,2IIrS-2,1.7487636015906938,window,5.635495958121257,49,False,False,1,1,0.317,0.01,True,38
visible_0p7_3p0,std_gp,0,40,2IIrSe-2,1.8569340808634704,window,5.635495958121257,50,False,False,1,1,0.349,0.011,True,39
visible_0p7_3p0,std_gp,0,41,2IRhS-2,1.6647392381663382,window,5.635495958121257,51,False,False,1,1,0.248,0.007,True,40
visible_0p7_3p0,std_gp,0,42,2IRhSe-1,1.7248430777278154,window,5.635495958121257,52,False,False,1,1,0.29,0.012,True,41
visible_0p7_3p0,std_gp,0,43,2BrRhS-2,2.135486147220739,window,5.635495958121257,53,False,False,1,1,0.419,0.017,True,42
visible_0p7_3p0,std_gp,0,44,2BrRhSe-1,2.1396173896965265,window,5.635495958121257,54,False,False,1,1,0.326,0.019,True,43
visible_0p7_3p0,std_gp,0,45,2PtTeS3-1,1.7309728435120988,window,5.635495958121257,55,False,False,1,1,0.399,0.017,True,44
visible_0p7_3p0,std_gp,0,46,2PdTeS3-1,1.8177466141329617,window,5.635495958121257,56,False,False,1,1,0.394,0.009,True,45
visible_0p7_3p0,std_gp,0,47,1PtSnS4-1,2.1217787641584476,window,5.635495958121257,57,False,False,1,1,0.303,0.014,True,46
visible_0p7_3p0,std_gp,0,48,2RuS2-1,1.5833182530472873,window,5.635495958121257,58,False,False,1,1,0.289,0.01,True,47
visible_0p7_3p0,std_gp,0,49,1HgBr2-4,2.458718900666394,window,5.635495958121257,59,False,False,1,1,0.319,0.02,True,48
visible_0p7_3p0,std_gp,0,50,1SnI2-2,2.5044769419217303,window,5.635495958121257,60,False,False,1,1,0.412,0.013,True,49
visible_0p7_3p0,std_gp,0,51,1HgI2-4,1.3696303013725286,window,5.635495958121257,61,False,False,1,1,0.297,0.013,True,50
visible_0p7_3p0,std_gp,0,52,2AgSe-1,1.1786742925781897,window,5.635495958121257,62,False,False,1,1,0.304,0.012,True,51
visible_0p7_3p0,std_gp,0,53,1AgGaP2Se6-1,1.6935745501713457,window,5.635495958121257,63,False,False,1,1,0.291,0.011,True,52
visible_0p7_3p0,std_gp,0,54,1AgGaP2S6-1,2.284638792566074,window,5.635495958121257,64,False,False,1,1,0.244,0.01,True,53
visible_0p7_3p0,std_gp,0,55,1AgInP2Se6-1,1.7071298338532443,window,5.635495958121257,65,False,False,1,1,0.318,0.007,True,54
visible_0p7_3p0,std_gp,0,56,1AgInP2S6-1,2.3653077633070336,window,5.635495958121257,66,False,False,1,1,0.305,0.011,True,55
visible_0p7_3p0,std_gp,0,57,2InPS3-1,1.3949282191850638,window,5.635495958121257,67,False,False,1,1,0.261,0.008,True,56
visible_0p7_3p0,std_gp,0,58,1CdGaInS4-1,1.3399645179244253,window,5.635495958121257,68,False,False,1,1,0.283,0.011,True,57
visible_0p7_3p0,std_gp,0,59,1BrISCd2-1,1.7154116662169758,window,5.635495958121257,69,False,False,1,1,0.269,0.015,True,58
visible_0p7_3p0,std_gp,0,60,1AsISe-2,1.0515306437580212,window,5.635495958121257,70,False,False,1,1,0.291,0.01,True,59
visible_0p7_3p0,std_gp,0,61,2GaS-1,3.1968982453053973,window,5.635495958121257,71,False,False,1,1,0.291,0.013,False,59
visible_0p7_3p0,std_gp,0,62,1AlCdInS4-1,1.8772431361735278,window,5.635495958121257,72,False,False,1,1,0.28,0.011,True,60
visible_0p7_3p0,std_gp,0,63,1NiPd3Se8-1,0.7018304824077519,window,5.635495958121257,73,False,False,1,1,0.357,0.009,True,61
visible_0p7_3p0,std_gp,0,64,2NiTeS3-1,1.566844270911516,window,5.635495958121257,74,False,False,1,1,0.324,0.012,True,62
visible_0p7_3p0,std_gp,0,65,1AgAlAs2Se6-1,1.5766849945499355,window,5.635495958121257,75,False,False,1,1,0.317,0.011,True,63
visible_0p7_3p0,std_gp,0,66,1AgAlP2Se6-1,2.3391806005332203,window,5.635495958121257,76,False,False,1,1,0.312,0.015,True,64
visible_0p7_3p0,std_gp,0,67,1AlISe-1,2.1861313349090983,window,5.635495958121257,77,False,False,1,1,0.303,0.007,True,65
visible_0p7_3p0,std_gp,0,68,2OsS2-1,1.386851546785019,window,5.635495958121257,78,False,False,1,1,0.32,0.013,True,66
visible_0p7_3p0,std_gp,0,69,1AgAlP2S6-1,3.1320799879793046,window,5.635495958121257,79,False,False,1,1,0.391,0.011,False,66
visible_0p7_3p0,std_gp,0,70,1NiPdS4-1,1.152815371758458,window,5.635495958121257,80,False,False,1,1,0.347,0.013,True,67
visible_0p7_3p0,std_gp,0,71,2IIrTe-2,1.6712175117969268,window,5.635495958121257,81,False,False,1,1,0.363,0.012,True,68
visible_0p7_3p0,std_gp,0,72,2OsSe2-1,1.389307349052195,window,5.635495958121257,82,False,False,1,1,0.367,0.018,True,69
visible_0p7_3p0,std_gp,0,73,1WAg2Te4-1,1.3181665243973435,window,5.635495958121257,83,False,False,1,1,0.342,0.012,True,70
visible_0p7_3p0,std_gp,0,74,1MoAu2Te4-1,0.6769020187158932,window,5.635495958121257,84,False,False,1,1,0.356,0.014,False,70
visible_0p7_3p0,std_gp,0,75,2ClIrSe-2,2.2350163474245495,window,5.635495958121257,85,False,False,1,1,0.349,0.012,True,71
visible_0p7_3p0,std_gp,0,76,2ClIrS-2,2.203770808154513,window,5.635495958121257,86,False,False,1,1,0.38,0.011,True,72
visible_0p7_3p0,std_gp,0,77,2RuSe2-1,1.5952369559102693,window,5.635495958121257,87,False,False,1,1,0.377,0.015,True,73
visible_0p7_3p0,std_gp,0,78,1AsIS-1,1.9500066154135134,window,5.635495958121257,88,False,False,1,1,0.331,0.016,True,74
visible_0p7_3p0,std_gp,0,79,1AsISe-1,1.6849279007105276,window,5.635495958121257,89,False,False,1,1,0.265,0.008,True,75
visible_0p7_3p0,std_gp,0,80,1AsIS-2,0.8103816990398838,window,5.635495958121257,90,False,False,1,1,0.301,0.018,True,76
visible_0p7_3p0,std_gp,0,81,1AsITe-1,1.5024923748158407,window,5.635495958121257,91,False,False,1,1,0.341,0.01,True,77
visible_0p7_3p0,std_gp,0,82,1ISbTe-1,1.3216126528129446,window,5.635495958121257,92,False,False,1,1,0.339,0.013,True,78
visible_0p7_3p0,std_gp,0,83,2MoS2-1,0.06948461062999045,window,5.635495958121257,93,False,False,1,1,0.366,0.009,False,78
visible_0p7_3p0,std_gp,0,84,2ClRhSe-1,2.270563343416535,window,5.635495958121257,94,False,False,1,1,0.393,0.015,True,79
visible_0p7_3p0,std_gp,0,85,2ClRhS-1,2.2699064183552333,window,5.635495958121257,95,False,False,1,1,0.322,0.012,True,80
visible_0p7_3p0,std_gp,0,86,1BiIS-1,1.4739739789524404,window,5.635495958121257,96,False,False,1,1,0.382,0.012,True,81
