window,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,cumul_in_window
visible_0p7_3p0,dkl_finetune,9,1,1AgAlP2S6-1,3.1320799879793046,window,3.1320799879793046,11,False,False,0,0,0.966,0.005,False,0
visible_0p7_3p0,dkl_finetune,9,2,2BrNbO2-1,3.4687266859580994,window,3.4687266859580994,12,False,False,0,0,0.119,0.004,False,0
visible_0p7_3p0,dkl_finetune,9,3,1ClSbSe-1,1.8037234936115578,window,3.4687266859580994,13,False,False,0,0,0.117,0.004,True,1
visible_0p7_3p0,dkl_finetune,9,4,1AuInCl2S2-1,2.584399174383482,window,3.4687266859580994,14,False,False,0,0,0.117,0.004,True,2
visible_0p7_3p0,dkl_finetune,9,5,1BiClS-1,1.7449209583971834,window,3.4687266859580994,15,False,False,0,0,0.117,0.004,True,3
visible_0p7_3p0,dkl_finetune,9,6,1BrSeY-1,4.12197624479649,window,4.12197624479649,16,False,False,0,0,1.026,0.004,False,3
visible_0p7_3p0,dkl_finetune,9,7,1ClSbTe-2,1.890637267538068,window,4.12197624479649,17,False,False,0,0,0.105,0.004,True,4
visible_0p7_3p0,dkl_finetune,9,8,1BiBrS-2,1.9804019187336452,window,4.12197624479649,18,False,False,0,0,0.121,0.004,True,5
visible_0p7_3p0,dkl_finetune,9,9,1AgScP2Se6-1,2.7754717110836995,window,4.12197624479649,19,False,False,0,0,0.115,0.005,True,6
visible_0p7_3p0,dkl_finetune,9,10,2BrRhTe-1,1.964644675594796,window,4.12197624479649,20,False,False,0,0,0.107,0.003,True,7
visible_0p7_3p0,dkl_finetune,9,11,1AgCrP2Se6-1,1.788781534497054,window,4.12197624479649,21,False,False,0,0,1.022,0.005,True,8
visible_0p7_3p0,dkl_finetune,9,12,2AgCrP2S6-1,2.715331098741717,window,4.12197624479649,22,False,False,0,0,0.121,0.004,True,9
visible_0p7_3p0,dkl_finetune,9,13,1AgAlAs2Se6-1,1.5766849945499355,window,4.12197624479649,23,False,False,0,0,0.111,0.005,True,10
