method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
random,2,52,1CoRhRe2S8-1,0.7295166890578959,random,7.2202620542179705,62,False,False,4,5,0.0,0.0
random,2,53,1Mo2Ta2O11-1,4.348665095075862,random,7.2202620542179705,63,False,False,4,5,0.0,0.0
random,2,54,1GeK2H6S6-1,3.372960039573049,random,7.2202620542179705,64,False,False,4,5,0.0,0.0
random,2,55,4PPdS-1,2.0904344386127454,random,7.2202620542179705,65,False,False,4,5,0.0,0.0
random,2,56,1IOCl2N3Ti5-1,0.12942806738480417,random,7.2202620542179705,66,False,False,4,5,0.0,0.0
random,2,57,2ClIn-4,2.037390286915108,random,7.2202620542179705,67,False,False,4,5,0.0,0.0
random,2,58,2InSiTe-1,1.0371262754199784,random,7.2202620542179705,68,False,False,4,5,0.0,0.0
random,2,59,2FOY-1,6.726879214939499,random,7.2202620542179705,69,True,True,5,6,0.0,0.0
random,2,60,2HgPt2Se3-1,0.19486606873658907,random,7.2202620542179705,70,False,False,5,6,0.0,0.0
random,2,61,2HfTe-4,0.14481964133160097,random,7.2202620542179705,71,False,False,5,6,0.0,0.0
random,2,62,1MnO2-1,4.136989447015512,random,7.2202620542179705,72,False,False,5,6,0.0,0.0
random,2,63,1PdLi2H6O6-1,4.305871141644152,random,7.2202620542179705,73,False,False,5,6,0.0,0.0
random,2,64,1SnSb2Te4-1,0.6379718801417368,random,7.2202620542179705,74,False,False,5,6,0.0,0.0
random,2,65,2SrSn2Cl6-1,4.465665967662169,random,7.2202620542179705,75,False,False,5,6,0.0,0.0
random,2,66,1ClISBr2Se3In4-1,2.2968593185509256,random,7.2202620542179705,76,False,False,5,6,0.0,0.0
random,2,67,2CdCl-1,2.3096990217054163,random,7.2202620542179705,77,False,False,5,6,0.0,0.0
random,2,68,2YCl3-3,6.01392646570449,random,7.2202620542179705,78,False,True,5,7,0.0,0.0
random,2,69,2RhSe-3,0.3374408042430755,random,7.2202620542179705,79,False,False,5,7,0.0,0.0
random,2,70,1ScS2-2,1.889974462819711,random,7.2202620542179705,80,False,False,5,7,0.0,0.0
random,2,71,2AgI-1,2.7818495819334284,random,7.2202620542179705,81,False,False,5,7,0.0,0.0
random,2,72,1NiSe2-1,0.2991277715230205,random,7.2202620542179705,82,False,False,5,7,0.0,0.0
random,2,73,1Se2Bi3Sb3S7-1,0.8713552548368455,random,7.2202620542179705,83,False,False,5,7,0.0,0.0
random,2,74,2FV-1,0.03369310034517975,random,7.2202620542179705,84,False,False,5,7,0.0,0.0
random,2,75,2GaS-2,3.045025830145839,random,7.2202620542179705,85,False,False,5,7,0.0,0.0
random,2,76,2BrHg-1,2.2368706866724466,random,7.2202620542179705,86,False,False,5,7,0.0,0.0
random,2,77,2NiBi2Br2O3-1,3.6960395483221706,random,7.2202620542179705,87,False,False,5,7,0.0,0.0
random,2,78,1IInAu3Br3O4-1,1.6304493924886865,random,7.2202620542179705,88,False,False,5,7,0.0,0.0
random,2,79,2GaSeSi-1,2.0771230589568357,random,7.2202620542179705,89,False,False,5,7,0.0,0.0
random,2,80,2TlCl3-2,2.7254210313027074,random,7.2202620542179705,90,False,False,5,7,0.0,0.0
random,2,81,1Ta2W2O11-1,4.548981950507414,random,7.2202620542179705,91,False,False,5,7,0.0,0.0
random,2,82,2GaO-1,2.471979283336589,random,7.2202620542179705,92,False,False,5,7,0.0,0.0
random,2,83,1Tl4Se5-1,1.8086138163517822,random,7.2202620542179705,93,False,False,5,7,0.0,0.0
random,2,84,2RbC2H3S3-1,3.348312377832152,random,7.2202620542179705,94,False,False,5,7,0.0,0.0
random,2,85,2IPt-1,0.4039141514267164,random,7.2202620542179705,95,False,False,5,7,0.0,0.0
random,2,86,2BrSY-2,4.218555790040501,random,7.2202620542179705,96,False,False,5,7,0.0,0.0
random,2,87,2TeZr-2,0.04597518545319193,random,7.2202620542179705,97,False,False,5,7,0.0,0.0
random,2,88,1GeNa2H6S6-1,3.3175156045003904,random,7.2202620542179705,98,False,False,5,7,0.0,0.0
random,2,89,2AlSe-1,2.7205808004028356,random,7.2202620542179705,99,False,False,5,7,0.0,0.0
random,2,90,1PdK2H6O6-1,4.383878824476335,random,7.2202620542179705,100,False,False,5,7,0.0,0.0
random,2,91,2ScTe-4,0.7178194661151867,random,7.2202620542179705,101,False,False,5,7,0.0,0.0
random,2,92,2OW-1,0.13172517772504205,random,7.2202620542179705,102,False,False,5,7,0.0,0.0
random,2,93,2IrI3-2,0.75565215295899,random,7.2202620542179705,103,False,False,5,7,0.0,0.0
random,2,94,1CaI2-2,4.06337015374854,random,7.2202620542179705,104,False,False,5,7,0.0,0.0
random,2,95,2InSnTe-1,0.3714855686527414,random,7.2202620542179705,105,False,False,5,7,0.0,0.0
random,2,96,2NiI2Sb2O3-1,3.036165860484205,random,7.2202620542179705,106,False,False,5,7,0.0,0.0
random,2,97,2ClTa2S6-1,1.0095577528836528,random,7.2202620542179705,107,False,False,5,7,0.0,0.0
random,2,98,2TlNi2Se3-1,0.8194421873249507,random,7.2202620542179705,108,False,False,5,7,0.0,0.0
random,2,99,1CaBr2-1,6.286147049980412,random,7.2202620542179705,109,True,True,6,8,0.0,0.0
random,2,100,1InIrBr3I3-1,2.7147547368288047,random,7.2202620542179705,110,False,False,6,8,0.0,0.0
