method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
dkl_cold,3,47,1SrI2-1,5.007424493923699,ei,10.617772574966029,57,False,False,14,17,0.166,0.011
dkl_cold,3,48,1ZnBr2-3,3.4487712140629654,ei,10.617772574966029,58,False,False,14,17,0.165,0.011
dkl_cold,3,49,4CoS2-1,0.6180926219744749,ei,10.617772574966029,59,False,False,14,17,0.164,0.009
dkl_cold,3,50,1Sb2Se3-1,0.8811993730791743,ei,10.617772574966029,60,False,False,14,17,0.165,0.011
dkl_cold,3,51,2Bi-1,0.6111082036557421,ei,10.617772574966029,61,False,False,14,17,0.166,0.011
dkl_cold,3,52,2KC2H3O3-1,6.357534075722851,ei,10.617772574966029,62,True,True,15,18,0.167,0.012
dkl_cold,3,53,2SVH2O5-1,3.771349439801173,ei,10.617772574966029,63,False,False,15,18,0.164,0.008
dkl_cold,3,54,1ClISBr2Se3In4-1,2.2968593185509256,ei,10.617772574966029,64,False,False,15,18,0.164,0.011
dkl_cold,3,55,2AgTe-3,0.7557647052840255,ei,10.617772574966029,65,False,False,15,18,0.165,0.011
dkl_cold,3,56,4AuNaSe-1,1.9838683901192833,ei,10.617772574966029,66,False,False,15,18,0.167,0.011
dkl_cold,3,57,2CuINC3H4-1,2.502060151685307,ei,10.617772574966029,67,False,False,15,18,0.167,0.008
dkl_cold,3,58,2BiF3-1,5.899335099015164,ei,10.617772574966029,68,False,True,15,19,0.167,0.011
dkl_cold,3,59,2TeAg2-1,1.440601833965506,ei,10.617772574966029,69,False,False,15,19,0.166,0.011
dkl_cold,3,60,1CH2Sc2-1,2.008994817721328,ei,10.617772574966029,70,False,False,15,19,0.168,0.011
dkl_cold,3,61,2BaP2O6-1,6.8789754109267,ei,10.617772574966029,71,True,True,16,20,0.168,0.008
dkl_cold,3,62,2FV-1,0.03369310034517975,ei,10.617772574966029,72,False,False,16,20,0.171,0.011
dkl_cold,3,63,2CuO-1,1.0132514063754643,ei,10.617772574966029,73,False,False,16,20,0.177,0.011
dkl_cold,3,64,1MnRe2O8-1,4.030444120943724,ei,10.617772574966029,74,False,False,16,20,0.174,0.01
dkl_cold,3,65,1BaP2F12-1,9.582344405541459,ei,10.617772574966029,75,True,True,17,21,0.175,0.008
dkl_cold,3,66,1BaAs2F12-1,7.2857903526061225,ei,10.617772574966029,76,True,True,18,22,0.17,0.011
dkl_cold,3,67,2FIn-3,1.8021385257937692,ei,10.617772574966029,77,False,False,18,22,0.17,0.01
dkl_cold,3,68,1CrO2-2,1.1440773459972675,ei,10.617772574966029,78,False,False,18,22,0.172,0.011
dkl_cold,3,69,1PbCl2-1,3.4064969779805763,ei,10.617772574966029,79,False,False,18,22,0.171,0.008
dkl_cold,3,70,1CF2Y2-1,1.966112852815507,ei,10.617772574966029,80,False,False,18,22,0.176,0.01
dkl_cold,3,71,1AgGeF6-1,2.5530257005823582,ei,10.617772574966029,81,False,False,18,22,0.17,0.011
dkl_cold,3,72,2BaAs2O6-1,5.0141426303750585,ei,10.617772574966029,82,False,False,18,22,0.092,0.011
dkl_cold,3,73,6AgBr2-1,0.42894159028044854,ei,10.617772574966029,83,False,False,18,22,0.058,0.008
dkl_cold,3,74,1BiFS2O6-1,3.804722419858555,ei,10.617772574966029,84,False,False,18,22,0.047,0.011
dkl_cold,3,75,4AuF2-1,1.2860629579115832,ei,10.617772574966029,85,False,False,18,22,0.127,0.011
dkl_cold,3,76,1MnAs2F12-1,4.160613762790249,ei,10.617772574966029,86,False,False,18,22,0.176,0.01
dkl_cold,3,77,1ZnF2-1,7.04070118337718,ei,10.617772574966029,87,True,True,19,23,0.178,0.009
dkl_cold,3,78,2CaCl2O2H4-1,7.085091451707623,ei,10.617772574966029,88,True,True,20,24,0.181,0.01
dkl_cold,3,79,2ClRe3Te4-1,0.9614616915427596,ei,10.617772574966029,89,False,False,20,24,0.136,0.011
dkl_cold,3,80,2ORe-1,0.21568495730287565,ei,10.617772574966029,90,False,False,20,24,0.137,0.011
dkl_cold,3,81,2CaP2O6-1,7.038376448379054,ei,10.617772574966029,91,True,True,21,25,0.149,0.008
dkl_cold,3,82,2MoF3-2,2.6089472714135282,ei,10.617772574966029,92,False,False,21,25,0.075,0.011
