epoch,loss
0,2.0349278167968365
1,1.900077491450175
2,1.797236098788956
3,1.7166759266492075
4,1.6673279990345171
5,1.6283642620446437
6,1.5950719725220044
7,1.561812806061737
8,1.5268709355548618
9,1.4973056670202418
10,1.4702224956693488
11,1.4446665795406357
12,1.4265702622545207
13,1.4136194973454852
14,1.40052733549337
15,1.3884462639509747
16,1.3774029328988895
17,1.368546018081041
18,1.3617339056674493
19,1.3524109753316471
20,1.3515908860248074
21,1.3433583769984425
22,1.3344990010511575
23,1.328949002999507
24,1.3237075272642655
25,1.3223232743640898
26,1.3126088983554804
27,1.3093061559189199
28,1.3089447071250502
29,1.298185182713483
30,1.2942346370148023
31,1.294899946958907
32,1.2857836292679283
33,1.2847234176345073
34,1.2814412642749704
35,1.2709984798304705
36,1.2739059250833809
37,1.2624721108322765
38,1.263745091817644
39,1.2581501341887116
40,1.252303629932225
41,1.2444616204141994
42,1.2462188578637496
43,1.2378081149412288
44,1.2374385898804197
45,1.230908366427916
46,1.2262172275596865
47,1.2244052744388887
48,1.2204038828926953
49,1.2166112328775327
50,1.210434972497152
51,1.2066744465843324
52,1.2012855316426165
53,1.1976507361127784
54,1.1920439909824625
55,1.1879802646300845
56,1.1861674975982686
57,1.1814338019005421
58,1.179696999233305
59,1.1815167084514875
60,1.1763095128437069
61,1.1849215981001766
62,1.169322000126403
63,1.1755775194480909
64,1.165175387054841
65,1.1604578596871635
66,1.1534891591378749
67,1.1536040644743197
68,1.146818466949768
69,1.1421288352823817
70,1.1380438921231606
71,1.1366563355005683
72,1.1295087283409548
73,1.1257129779637463
74,1.118803277992532
75,1.1142440837869168
76,1.114041855307768
77,1.1083743666849812
78,1.1075122782047329
79,1.119731909698203
80,1.1093792154301774
81,1.105833406977578
82,1.0992840130282304
83,1.091434781890349
84,1.0993512686146554
85,1.0904965070461745
86,1.0805778575519835
87,1.0823891239453585
88,1.07427660947749
89,1.0720977658350965
90,1.064331796956721
91,1.0659210134278363
92,1.0581944132504757
93,1.0539897748851454
94,1.0479614255929344
95,1.0460508646507858
96,1.0429580545319892
97,1.0433696629529265
98,1.0359617232663996
99,1.0289642178208849
100,1.0394713635632933
101,1.0239478736966383
102,1.0344187490727377
103,1.0260247840651846
104,1.0255076407732333
105,1.0239524999866725
106,1.0109903575863752
107,1.0057603624817002
108,1.0147035523964247
109,0.9945646964172842
110,1.0012077618625386
111,1.002130121681112
112,0.9868925278508385
113,0.9919760518391797
114,0.9933538628469551
115,0.9875578722186228
116,1.0006254482609316
117,0.9736443615801986
118,1.0072822168111664
119,0.9719461062407629
120,0.9917159977456912
121,0.9678936100432545
122,0.9682037089282514
123,0.9640241973726381
124,0.9697119002093657
125,0.961132850977667
126,0.9438817742159222
127,0.9519038457787775
128,0.940590518900629
129,0.936596775229293
130,0.9300163775700454
131,0.9403765462294135
132,0.9326168266141585
133,0.9284558862430999
134,0.9172194340970516
135,0.9141305351619317
136,0.9101112078961909
137,0.9051570583398103
138,0.9052105803868091
139,0.9062276341521774
140,0.8997404774791681
141,0.8986776871693148
142,0.9348110918142667
143,0.9210635065026793
144,0.9022117659297273
145,0.8965504323961058
146,0.8937139164856501
147,0.894779812382415
148,0.8755145832494746
149,0.8923912400169334
150,0.8759240404656705
151,0.8716208426577464
152,0.8668172916579
153,0.8583715710845552
154,0.860331339337385
155,0.8493526041658465
156,0.8563071616645147
157,0.8436611458468458
158,0.8446698265069269
159,0.8503091564123059
160,0.8514216990767994
161,0.8340166483914668
162,0.8332858445436567
163,0.8288331623232819
164,0.8277562364635572
165,0.8101735231751123
166,0.8197940583335348
167,0.8134989620815792
168,0.8233010901281828
169,0.8305295449888401
170,0.8238067375396975
171,0.8051970999744191
172,0.8087007471312813
173,0.8015570988925759
174,0.804363990841005
175,0.7912976678257629
176,0.8037555397001491
177,0.7864397633495137
178,0.7879429573106247
179,0.7801534751965034
180,0.781472223669359
181,0.7801938253106308
182,0.7688601521128238
183,0.7956298788691479
184,0.7814035305045958
185,0.7706715776894609
186,0.7721310907488839
187,0.7648937688419742
188,0.768357872623411
189,0.7728720776045631
190,0.757578492005459
191,0.7543999678552755
192,0.7524789361560724
193,0.7520957953056424
194,0.741341467753173
195,0.7403087937503302
196,0.7265380907207086
197,0.7475915178549037
198,0.7626628549694371
199,0.7221794580493708
200,0.7657538034681639
201,0.746815802782394
202,0.7323828326799747
203,0.7423685483014365
204,0.7201808458916458
205,0.7237747735112268
206,0.7133804459572647
207,0.7124458449380254
208,0.7168068113035146
209,0.7200540529365655
210,0.7018211412195883
211,0.6947464267411543
212,0.7008980227297816
213,0.695122978276003
214,0.6881195176122744
215,0.6994173662751662
216,0.7027969422547414
217,0.6932262389985601
218,0.6894714392285185
219,0.6890871628692715
220,0.6824974677370026
221,0.6857261422170514
222,0.6678315003125033
223,0.6673416450750296
224,0.6736565809868733
225,0.6506038933131632
226,0.6617209189668847
227,0.6544095020096482
228,0.6557013640640486
229,0.6400312440658639
230,0.6725076221885982
231,0.6727504833448933
232,0.6624395828595382
233,0.6565771117493047
234,0.6458726819944913
235,0.6402476570042036
236,0.6380125617928779
237,0.6409483964762778
238,0.6654590617807342
239,0.6643299048848436
240,0.6373911540367768
241,0.6705214857302445
242,0.6383062139742361
243,0.6442599368961744
244,0.624772733920199
245,0.631574847452563
246,0.6192365287530136
247,0.6275607336552951
248,0.6129462259132268
249,0.6087454330581946
250,0.6321508376263276
251,0.606430280016862
252,0.6259457075134826
253,0.6753614676554335
254,0.6208399164368793
255,0.6673003867179816
256,0.6012502703581077
257,0.6227439120962113
258,0.5865720486462033
259,0.6034649870332311
260,0.603334072467439
261,0.6074463098876737
262,0.6019339884109585
263,0.5883668463828712
264,0.5793921715328736
265,0.5814619304368326
266,0.5906455322072519
267,0.5906998326026367
268,0.5762087422317461
269,0.5644324510817588
270,0.5771063732494365
271,0.5714960024379543
272,0.576269353735909
273,0.5836653004452967
274,0.5792840797712385
275,0.564512088990586
276,0.5824526985325891
277,0.5707519557188993
278,0.5796868344418058
279,0.550487698944247
280,0.5768061543151978
281,0.5622579779358854
282,0.5743155534357564
283,0.5556821307893979
284,0.5842785804309374
285,0.5750551353912486
286,0.5646789902989643
287,0.5654127121890452
288,0.5508467961943257
289,0.5520316006579761
