cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
57,1FeZrBr6-1,3.1640078313548248,random,6.325795334475228,67,False,False,0,2,0.0,0.0
58,2BiISe-1,1.1803685646918471,random,6.325795334475228,68,False,False,0,2,0.0,0.0
59,1Sb2Te3-1,0.698827076564486,random,6.325795334475228,69,False,False,0,2,0.0,0.0
60,1HfSe2-2,1.6264218685104428,random,6.325795334475228,70,False,False,0,2,0.0,0.0
61,2AlHTeO4-1,5.330971197876758,random,6.325795334475228,71,False,True,0,3,0.0,0.0
62,2AgClHgS-1,2.526026955574869,random,6.325795334475228,72,False,False,0,3,0.0,0.0
63,2CuSbSe2-1,0.6691461554478426,random,6.325795334475228,73,False,False,0,3,0.0,0.0
64,2TiS3-1,1.452472977000255,random,6.325795334475228,74,False,False,0,3,0.0,0.0
65,2PRhSe3-1,0.054814646385929144,random,6.325795334475228,75,False,False,0,3,0.0,0.0
66,1PtPd3Cl4O4-1,1.7898918404688806,random,6.325795334475228,76,False,False,0,3,0.0,0.0
67,2IIrS-2,1.7487636015906938,random,6.325795334475228,77,False,False,0,3,0.0,0.0
68,2VBr2Se2-1,1.8100107975710733,random,6.325795334475228,78,False,False,0,3,0.0,0.0
69,2CrSbSe3-1,1.1231449751294322,random,6.325795334475228,79,False,False,0,3,0.0,0.0
70,2NbBr2S2-1,2.4646711927831264,random,6.325795334475228,80,False,False,0,3,0.0,0.0
71,2CrFO-1,3.5024141220214213,random,6.325795334475228,81,False,False,0,3,0.0,0.0
72,4CaTeO3-1,5.347852682809339,random,6.325795334475228,82,False,True,0,4,0.0,0.0
73,2SrSb2O4-1,4.358141008303635,random,6.325795334475228,83,False,False,0,4,0.0,0.0
74,2TiO3-1,4.995017646673862,random,6.325795334475228,84,False,False,0,4,0.0,0.0
75,2AlBrO-1,5.396859842159907,random,6.325795334475228,85,False,True,0,5,0.0,0.0
76,4SnSb2-1,1.1041946693535825,random,6.325795334475228,86,False,False,0,5,0.0,0.0
77,1BrISr-1,5.046618024914997,random,6.325795334475228,87,False,False,0,5,0.0,0.0
78,4AgNaSe-1,1.3317740135325442,random,6.325795334475228,88,False,False,0,5,0.0,0.0
79,1AgMoBr4-1,2.16597928261703,random,6.325795334475228,89,False,False,0,5,0.0,0.0
80,1HfIrCl2Br4-1,2.1248984853188944,random,6.325795334475228,90,False,False,0,5,0.0,0.0
81,2AlGeSe3-1,2.408309085650762,random,6.325795334475228,91,False,False,0,5,0.0,0.0
82,2PVO5-1,4.03175738821707,random,6.325795334475228,92,False,False,0,5,0.0,0.0
83,1ReCu2I6-1,1.5924014324136584,random,6.325795334475228,93,False,False,0,5,0.0,0.0
84,2InCl3-1,5.116437740520893,random,6.325795334475228,94,False,True,0,6,0.0,0.0
85,1ZrH2P2O6-1,6.395484663595209,random,6.395484663595209,95,False,True,0,7,0.0,0.0
86,1OsRuCl6-1,1.1958090583969558,random,6.395484663595209,96,False,False,0,7,0.0,0.0
87,4AgBr3-1,1.6519325671610017,random,6.395484663595209,97,False,False,0,7,0.0,0.0
88,1ZrSe2-1,1.2023654809310316,random,6.395484663595209,98,False,False,0,7,0.0,0.0
89,2FIn-3,1.8021385257937692,random,6.395484663595209,99,False,False,0,7,0.0,0.0
90,1MgNa2S2H4O8-1,5.737877923226915,random,6.395484663595209,100,False,True,0,8,0.0,0.0
91,2NRbO3-1,5.286226532964832,random,6.395484663595209,101,False,True,0,9,0.0,0.0
92,1PbO2-2,2.467522432059246,random,6.395484663595209,102,False,False,0,9,0.0,0.0
93,2BrMnSbS2-2,1.2011865805829927,random,6.395484663595209,103,False,False,0,9,0.0,0.0
94,2LiTeTl-1,1.5327777991538962,random,6.395484663595209,104,False,False,0,9,0.0,0.0
95,2MoPS3-1,0.4869864959141149,random,6.395484663595209,105,False,False,0,9,0.0,0.0
96,2YCl3-2,5.3613158491542245,random,6.395484663595209,106,False,True,0,10,0.0,0.0
97,1PdLi2H6O6-1,4.305871141644152,random,6.395484663595209,107,False,False,0,10,0.0,0.0
98,1GaP-1,2.3692004924283907,random,6.395484663595209,108,False,False,0,10,0.0,0.0
99,2GeZrS4-1,1.953886085828569,random,6.395484663595209,109,False,False,0,10,0.0,0.0
100,1PdK2H6O6-1,4.383878824476335,random,6.395484663595209,110,False,False,0,10,0.0,0.0
