cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
55,2Sb-1,1.4062542364491943,ucb,10.791584270238179,65,False,False,15,29,0.394,0.005
56,2LiNbF6-1,8.141265897281308,ucb,10.791584270238179,66,True,True,16,30,1.457,0.006
57,1NiPdF6-1,2.061489104177938,ucb,10.791584270238179,67,False,False,16,30,0.379,0.006
58,2CuF3-1,3.550039340616814,ucb,10.791584270238179,68,False,False,16,30,0.383,0.006
59,2SrO3H4-1,6.069913590947623,ucb,10.791584270238179,69,False,True,16,31,0.36,0.006
60,2SrF2O2H4-1,7.694953668993825,ucb,10.791584270238179,70,True,True,17,32,0.369,0.005
61,2ILiO2H4-1,4.724923118928624,ucb,10.791584270238179,71,False,False,17,32,1.329,0.005
62,2CaO3H4-1,6.175914485021403,ucb,10.791584270238179,72,False,True,17,33,0.337,0.006
63,2CaF2O2H4-1,7.9662019138200115,ucb,10.791584270238179,73,True,True,18,34,0.379,0.005
64,1PtNa2H6O6-1,4.67382281949948,ucb,10.791584270238179,74,False,False,18,34,0.389,0.006
65,1FHNiO-1,3.54775074394505,ucb,10.791584270238179,75,False,False,18,34,0.36,0.005
66,2YF3-1,9.894449577438952,ucb,10.791584270238179,76,True,True,19,35,1.415,0.005
67,2NaNbF6-1,8.250125633271292,ucb,10.791584270238179,77,True,True,20,36,0.389,0.006
68,1SnNa2H6O6-1,5.654737793528017,ucb,10.791584270238179,78,False,True,20,37,0.346,0.005
69,2VF4-1,3.11207248904726,ucb,10.791584270238179,79,False,False,20,37,0.375,0.005
70,2LiTaF6-1,8.725162908062773,ucb,10.791584270238179,80,True,True,21,38,0.404,0.005
71,1CF2Y2-1,1.966112852815507,ucb,10.791584270238179,81,False,False,21,38,1.366,0.006
72,2FSeY-1,2.4298763476565908,ucb,10.791584270238179,82,False,False,21,38,0.406,0.006
73,1SNb3F7-1,1.8722522956083236,ucb,10.791584270238179,83,False,False,21,38,0.407,0.006
74,2IOY-1,2.8342099673596675,ucb,10.791584270238179,84,False,False,21,38,0.412,0.006
75,1SeNb3F7-1,1.8073108281965378,ucb,10.791584270238179,85,False,False,21,38,0.387,0.006
76,2ClLiO2H4-1,6.111150256482566,ucb,10.791584270238179,86,False,True,21,39,1.316,0.007
77,2NaTaF6-1,8.849863106960006,ucb,10.791584270238179,87,True,True,22,40,0.436,0.005
78,2INaO2H4-1,4.595953332495753,ucb,10.791584270238179,88,False,False,22,40,0.353,0.005
79,2CaSn2F6-1,4.94795999948755,ucb,10.791584270238179,89,False,False,22,40,0.372,0.006
80,2OsF4-1,2.239581463704641,ucb,10.791584270238179,90,False,False,22,40,0.39,0.006
81,2HNaO-1,4.458174478957227,ucb,10.791584270238179,91,False,False,22,40,1.43,0.006
82,1STa3F7-1,1.7987013928879922,ucb,10.791584270238179,92,False,False,22,40,0.384,0.005
83,2GaF3-1,8.149127636641484,ucb,10.791584270238179,93,True,True,23,41,0.375,0.005
84,1AgGeF6-1,2.5530257005823582,ucb,10.791584270238179,94,False,False,23,41,0.364,0.006
85,1MgH2O2-1,5.028010763049256,ucb,10.791584270238179,95,False,False,23,41,0.359,0.005
86,2ClNaO2H4-1,5.961086465928096,ucb,10.791584270238179,96,False,True,23,42,1.365,0.006
87,1BaBi2F12-1,4.978701893128808,ucb,10.791584270238179,97,False,False,23,42,0.371,0.005
88,2IrF3-1,3.600846567518613,ucb,10.791584270238179,98,False,False,23,42,0.377,0.006
89,1ZnF2-1,7.04070118337718,ucb,10.791584270238179,99,True,True,24,43,0.383,0.006
90,2KTaF6-1,8.68143673805662,ucb,10.791584270238179,100,True,True,25,44,0.367,0.006
91,2BKH4O4-1,6.126452412229799,ucb,10.791584270238179,101,False,True,25,45,1.341,0.006
92,2RhF3-1,3.1668743680308444,ucb,10.791584270238179,102,False,False,25,45,0.369,0.007
93,2CaGe2F6-1,5.992006948733845,ucb,10.791584270238179,103,False,True,25,46,0.369,0.007
94,2RhF3-2,3.690905229442491,ucb,10.791584270238179,104,False,False,25,46,0.371,0.006
95,1PdNa2H6O6-1,4.355284496193546,ucb,10.791584270238179,105,False,False,25,46,0.387,0.006
96,2FGaO-1,4.755211768183427,ucb,10.791584270238179,106,False,False,25,46,1.432,0.006
97,1GeK2H6O6-1,5.958661668382421,ucb,10.791584270238179,107,False,True,25,47,0.35,0.005
98,1ZnH2O2-1,4.267042625641457,ucb,10.791584270238179,108,False,False,25,47,0.353,0.006
99,1PbNa2H6O6-1,4.410436855787237,ucb,10.791584270238179,109,False,False,25,47,0.366,0.006
100,2FNaO-1,5.377216660211552,ucb,10.791584270238179,110,False,True,25,48,0.367,0.006
