task,method,seed,regret_auc,final_best,final_top50,final_top10pct
emass_max,dkl_frozen,25,0.785594440269172,1.5785318323712445,17,21
emass_max,dkl_frozen,26,0.7189111488019663,1.5785318323712445,10,15
emass_max,dkl_frozen,27,0.9244954093475735,1.3086494405000182,13,17
emass_max,dkl_frozen,28,0.6967336890253563,1.5785318323712445,12,16
emass_max,dkl_frozen,29,0.8869841586184212,1.3086494405000182,19,22
emass_max,random,0,0.7872264929818322,1.5785318323712445,11,15
emass_max,random,1,0.6838105251559248,1.5785318323712445,5,10
emass_max,random,2,1.0167343385243919,1.2170297930270055,6,9
emass_max,random,3,0.8213342479280018,2.1341535744375406,8,11
emass_max,random,4,0.8103074958895897,1.3238460785479509,6,8
emass_max,random,5,0.9883327051637132,2.1341535744375406,4,10
emass_max,random,6,1.0967321577588478,1.1133365476368775,7,12
emass_max,random,7,1.0799146634510055,1.153880852366091,4,7
emass_max,random,8,0.7890733365940901,1.5785318323712445,3,7
emass_max,random,9,0.8298391168641917,1.3086494405000182,7,11
emass_max,random,10,0.9697957579950017,1.214509577019463,5,7
emass_max,random,11,1.1082140973492123,1.161653985000184,8,9
emass_max,random,12,1.0224622712011289,1.161653985000184,4,7
emass_max,random,13,0.6647523257069665,1.469401248730574,6,11
emass_max,random,14,0.76096869488529,1.469401248730574,6,10
emass_max,random,15,0.774901298111503,1.469401248730574,6,9
emass_max,random,16,0.13775227430123024,2.1341535744375406,6,8
emass_max,random,17,0.7340175140568577,2.1341535744375406,11,12
emass_max,random,18,0.7964218827110847,1.5785318323712445,9,16
emass_max,random,19,0.968588937120289,1.2741215091411264,5,5
emass_max,random,20,0.9885733141029643,1.2170297930270055,7,11
emass_max,random,21,0.3228765740731228,2.1341535744375406,12,19
emass_max,random,22,1.1661510999223348,1.0361902872832007,5,9
emass_max,random,23,0.13015409928933988,2.1341535744375406,7,10
emass_max,random,24,0.941328664525449,1.2145381178884274,4,6
emass_max,random,25,1.1642174814583246,1.078889325574047,2,4
emass_max,random,26,0.7334828496385447,1.469401248730574,8,12
emass_max,random,27,1.1003877222583724,1.1977839714399665,5,8
emass_max,random,28,0.8162574944380201,1.3238460785479509,5,10
emass_max,random,29,1.2031805306870944,1.095100623264882,6,9
emass_max,std_gp,0,0.8264029891702003,1.5785318323712445,11,19
emass_max,std_gp,1,1.0377462310116357,1.5785318323712445,15,18
emass_max,std_gp,2,0.7333490622215249,1.469401248730574,27,32
emass_max,std_gp,3,0.5756008826649602,1.5785318323712445,10,16
emass_max,std_gp,4,0.4329224564675138,2.1341535744375406,16,23
emass_max,std_gp,5,0.8135527699371694,1.5785318323712445,32,36
emass_max,std_gp,6,0.0,2.1341535744375406,10,14
emass_max,std_gp,7,0.8916163856698389,1.5785318323712445,19,24
emass_max,std_gp,8,0.9660169043098716,1.1925239141786843,3,7
emass_max,std_gp,9,0.30887753932810447,2.1341535744375406,19,21
emass_max,std_gp,10,0.6300957363915338,1.5785318323712445,13,20
emass_max,std_gp,11,0.8597131003524774,1.469401248730574,20,23
emass_max,std_gp,12,0.7823265569429623,1.5785318323712445,26,30
emass_max,std_gp,13,0.5796304704672434,1.5785318323712445,19,24
emass_max,std_gp,14,0.9735448219883804,1.1977839714399665,6,12
emass_max,std_gp,15,0.7378511468257808,2.1341535744375406,5,9
emass_max,std_gp,16,0.514852978054491,2.1341535744375406,5,8
emass_max,std_gp,17,0.7427580464079964,1.5785318323712445,4,10
emass_max,std_gp,18,0.7959016850429005,2.1341535744375406,18,25
emass_max,std_gp,19,0.7065607047523548,1.469401248730574,23,28
emass_max,std_gp,20,0.7400600047865689,1.5785318323712445,12,17
emass_max,std_gp,21,0.923512978535816,1.5785318323712445,12,18
emass_max,std_gp,22,0.825504133937523,1.3086494405000182,17,20
emass_max,std_gp,23,0.8778695670330192,1.469401248730574,21,23
emass_max,std_gp,24,0.6946488737740273,1.5785318323712445,14,19
emass_max,std_gp,25,0.6864716037559035,1.5785318323712445,12,19
emass_max,std_gp,26,0.9520764064154063,1.1977839714399665,8,12
emass_max,std_gp,27,0.15541142244887093,2.1341535744375406,10,14
emass_max,std_gp,28,0.83617705479581,1.2979765196417308,13,19
emass_max,std_gp,29,0.20601738340337747,2.1341535744375406,18,24
emass_min,dkl_cold_live,0,1.6397463829868832,-1.4980987198169655,14,20
emass_min,dkl_cold_live,1,0.6687293722830552,-2.7985215224949846,15,19
emass_min,dkl_cold_live,2,1.0630748208802314,-2.7985215224949846,17,23
emass_min,dkl_cold_live,3,1.290445170663776,-1.5080763518312088,15,18
emass_min,dkl_cold_live,4,1.0268292863460766,-1.9876555344978155,15,19
