target,method,mae,rmse,r2,coverage_95
gap,std_gp,0.7446226079683197,0.9949164470288058,0.6037301268613964,0.9477806788511749
gap,dkl,0.7594590308144689,1.065074641529772,0.5458723714754745,0.8981723237597912
emass,std_gp,1.8606320618229004,6.166654013721506,-0.09894360518047707,0.9673629242819843
emass,dkl,1.9617917866358843,6.029000620997674,-0.050429471779071866,0.9425587467362925
