task,method,metric,n_seeds,method_mean,std_gp_mean,mean_diff,wilcoxon_p,method_win_rate
gap_max,dkl_frozen,regret_auc,30,0.8533641568972848,0.713940669295495,0.1394234876017899,0.2710056286305189,0.43333333333333335
gap_max,dkl_frozen,final_best,30,8.56859872804105,8.677813595662284,-0.10921486762123589,0.0018306959021619658,0.03333333333333333
gap_max,dkl_frozen,final_top50,30,31.5,21.966666666666665,9.533333333333333,2.306162606673404e-06,0.9333333333333333
gap_max,dkl_frozen,final_top10pct,30,42.666666666666664,29.766666666666666,12.9,1.7235135468062213e-06,1.0
gap_max,dkl_finetune,regret_auc,30,1.095406869117157,0.713940669295495,0.38146619982166213,0.011303061619400978,0.4
gap_max,dkl_finetune,final_best,30,8.399557282065446,8.677813595662284,-0.278256313596838,0.016746269032266486,0.03333333333333333
gap_max,dkl_finetune,final_top50,30,25.3,21.966666666666665,3.3333333333333335,0.008407779610130348,0.6333333333333333
gap_max,dkl_finetune,final_top10pct,30,35.4,29.766666666666666,5.633333333333334,0.0007574950058146071,0.6333333333333333
gap_max,dkl_cold_live,regret_auc,30,1.5877051917377456,0.713940669295495,0.8737645224422507,3.2391399145126343e-06,0.1
gap_max,dkl_cold_live,final_best,30,7.854120208158743,8.677813595662284,-0.82369338750354,0.0005897301226638464,0.0
gap_max,dkl_cold_live,final_top50,30,20.3,21.966666666666665,-1.6666666666666667,0.2684290501048059,0.36666666666666664
gap_max,dkl_cold_live,final_top10pct,30,30.166666666666668,29.766666666666666,0.4,0.40547374684566984,0.5666666666666667
gap_max,random,regret_auc,30,2.011759823639089,0.713940669295495,1.2978191543435946,9.313225746154785e-09,0.06666666666666667
gap_max,random,final_best,30,7.499950394990425,8.677813595662284,-1.1778632006718577,1.1981545991387279e-05,0.0
gap_max,random,final_top50,30,6.833333333333333,21.966666666666665,-15.133333333333333,1.5629675047622445e-06,0.0
gap_max,random,final_top10pct,30,9.966666666666667,29.766666666666666,-19.8,1.7094495621956692e-06,0.0
gap_min,dkl_frozen,regret_auc,30,0.06280279375913174,0.07778888523120676,-0.01498609147207504,0.1982405546429553,0.5666666666666667
gap_min,dkl_frozen,final_best,30,0.024810357102106297,0.024227043108782712,0.0005833139933235897,0.11093275293119123,0.5333333333333333
gap_min,dkl_frozen,final_top50,30,20.6,19.1,1.5,0.15566324251897465,0.5333333333333333
gap_min,dkl_frozen,final_top10pct,30,28.433333333333334,27.766666666666666,0.6666666666666666,0.6897656015030399,0.5333333333333333
gap_min,dkl_finetune,regret_auc,30,0.07840394425090791,0.07778888523120676,0.0006150590197011275,0.46883416943806333,0.5666666666666667
gap_min,dkl_finetune,final_best,30,0.027837305838725256,0.024227043108782712,0.0036102627299425464,0.07167775841803663,0.5666666666666667
gap_min,dkl_finetune,final_top50,30,17.0,19.1,-2.1,0.028442638271028924,0.36666666666666664
gap_min,dkl_finetune,final_top10pct,30,26.133333333333333,27.766666666666666,-1.6333333333333333,0.28887574447570263,0.43333333333333335
gap_min,dkl_cold_live,regret_auc,30,0.09982893997820946,0.07778888523120676,0.02204005474700269,0.18357532003674315,0.36666666666666664
gap_min,dkl_cold_live,final_best,30,0.03204681572827913,0.024227043108782712,0.007819772619496424,0.004982128783412257,0.6
gap_min,dkl_cold_live,final_top50,30,15.533333333333333,19.1,-3.566666666666667,0.0027131586549712632,0.2
gap_min,dkl_cold_live,final_top10pct,30,24.766666666666666,27.766666666666666,-3.0,0.06231844983115078,0.23333333333333334
gap_min,random,regret_auc,30,0.14631916282513643,0.07778888523120676,0.06853027759392963,0.0027461281721087192,0.26666666666666666
gap_min,random,final_best,30,0.05429125903564921,0.024227043108782712,0.030064215926866488,5.4804391993975276e-05,0.7666666666666667
gap_min,random,final_top50,30,6.6,19.1,-12.5,1.6816090007658749e-06,0.0
gap_min,random,final_top10pct,30,10.3,27.766666666666666,-17.466666666666665,1.7019164327509632e-06,0.0
emass_min,dkl_frozen,regret_auc,30,1.34407505603849,1.213307283306402,0.13076777273208762,0.15794767439365387,0.4
emass_min,dkl_frozen,final_best,30,-1.7435368623890886,-1.9711163804370908,0.22757951804800272,0.07615909370408347,0.6
emass_min,dkl_frozen,final_top50,30,15.7,15.9,-0.2,0.7153372047507134,0.4666666666666667
emass_min,dkl_frozen,final_top10pct,30,21.0,21.2,-0.2,0.7652721531617241,0.4666666666666667
emass_min,dkl_finetune,regret_auc,30,1.1004546402377893,1.213307283306402,-0.11285264306861285,0.3284698575735092,0.5
emass_min,dkl_finetune,final_best,30,-2.1028880825578375,-1.9711163804370908,-0.13177170212074624,0.5348797942431807,0.4
emass_min,dkl_finetune,final_top50,30,16.666666666666668,15.9,0.7666666666666667,0.4111825427706237,0.4666666666666667
emass_min,dkl_finetune,final_top10pct,30,21.5,21.2,0.3,0.7045854121034845,0.5
emass_min,dkl_cold_live,regret_auc,30,1.2109058090545526,1.213307283306402,-0.002401474251849208,0.9515264742076397,0.4666666666666667
emass_min,dkl_cold_live,final_best,30,-1.9872672429630673,-1.9711163804370908,-0.016150862525975935,0.963570651993527,0.5
emass_min,dkl_cold_live,final_top50,30,14.733333333333333,15.9,-1.1666666666666667,0.3047603392145902,0.5
emass_min,dkl_cold_live,final_top10pct,30,19.333333333333332,21.2,-1.8666666666666667,0.22962826109819756,0.43333333333333335
emass_min,random,regret_auc,30,1.5772369383231788,1.213307283306402,0.3639296550167767,0.00046010687947273254,0.3
emass_min,random,final_best,30,-1.420385359160352,-1.9711163804370908,0.550731021276739,5.2517872349881105e-05,0.8666666666666667
emass_min,random,final_top50,30,7.166666666666667,15.9,-8.733333333333333,1.5905610334384575e-05,0.1
emass_min,random,final_top10pct,30,10.366666666666667,21.2,-10.833333333333334,4.2734833978299445e-06,0.03333333333333333
emass_max,dkl_frozen,regret_auc,30,0.8231887798394418,0.6935689965631089,0.129619783276333,0.036434996873140335,0.4
emass_max,dkl_frozen,final_best,30,1.4996347394900715,1.6555488409483057,-0.15591410145823445,0.06711601294686935,0.23333333333333334
emass_max,dkl_frozen,final_top50,30,13.333333333333334,14.6,-1.2666666666666666,0.7637650950116144,0.4666666666666667
emass_max,dkl_frozen,final_top10pct,30,18.0,19.466666666666665,-1.4666666666666666,0.8048451242778343,0.5
emass_max,dkl_finetune,regret_auc,30,0.7837286491847817,0.6935689965631089,0.09015965262167282,0.4399667661637068,0.5333333333333333
emass_max,dkl_finetune,final_best,30,1.5443814136592442,1.6555488409483057,-0.11116742728906187,0.11978230437911479,0.3333333333333333
emass_max,dkl_finetune,final_top50,30,13.9,14.6,-0.7,0.7128064591005959,0.4666666666666667
emass_max,dkl_finetune,final_top10pct,30,18.666666666666668,19.466666666666665,-0.8,0.5372221946527034,0.43333333333333335
emass_max,dkl_cold_live,regret_auc,30,0.8205197341464207,0.6935689965631089,0.12695073758331168,0.08560627067312218,0.3333333333333333
emass_max,dkl_cold_live,final_best,30,1.4941224964134203,1.6555488409483057,-0.1614263445348857,0.02346623075222284,0.23333333333333334
emass_max,dkl_cold_live,final_top50,30,11.366666666666667,14.6,-3.2333333333333334,0.05401473644278443,0.36666666666666664
emass_max,dkl_cold_live,final_top10pct,30,15.866666666666667,19.466666666666665,-3.6,0.03573706288951097,0.3
