method,mode,mae_raw,rmse_raw,r2_raw,r2_log
std_gp,raw,1.854619504364272,6.155833915687509,-0.09509054459356503,
dkl,raw,1.9642792528863893,6.029457289088221,-0.050588607867685376,
std_gp,log,1.5938126488982982,5.946370633372058,-0.02183362806756417,0.12522757796333184
dkl,log,1.5789538434283825,5.844336111575653,0.012933051293420816,0.13551003360456904
