task,method,n_seeds,regret_auc_mean,regret_auc_ci_lo,regret_auc_ci_hi,final_best_mean,final_best_ci_lo,final_best_ci_hi,final_top50_mean,final_top50_ci_lo,final_top50_ci_hi,final_top10pct_mean,final_top10pct_ci_lo,final_top10pct_ci_hi
emass_max,dkl_cold_live,30,0.8205197341464207,0.7459326727005217,0.8979401467679471,1.4941224964134203,1.4312981718688267,1.56239509687428,11.366666666666667,9.333333333333334,13.566666666666666,15.866666666666667,13.6,18.366666666666667
emass_max,dkl_finetune,30,0.7837286491847817,0.7082719450836205,0.8615168561590854,1.5443814136592442,1.4702906719220752,1.624559200040466,13.9,11.566666666666666,16.266666666666666,18.666666666666668,15.933333333333334,21.6
emass_max,dkl_frozen,30,0.8231887798394418,0.7572807954496598,0.886942495269496,1.4996347394900715,1.4221751041675241,1.5841388675529757,13.333333333333334,11.3,15.3,18.0,15.766666666666667,20.2
emass_max,random,30,0.8469263321381241,0.7447867554542047,0.9370217833167159,1.469623791209897,1.3425501883903308,1.6076253449787266,6.266666666666667,5.466666666666667,7.1,9.733333333333333,8.666666666666666,10.866666666666667
emass_max,std_gp,30,0.6935689965631089,0.5977778532153365,0.7793909674289926,1.6555488409483057,1.5463394386847276,1.7700733044754606,14.6,12.133333333333333,17.133333333333333,19.466666666666665,17.032500000000002,21.966666666666665
emass_min,dkl_cold_live,30,1.2109058090545526,1.0621867498588404,1.3478122932963739,-1.9872672429630673,-2.185915526607722,-1.7953233974946834,14.733333333333333,13.5,15.933333333333334,19.333333333333332,17.866666666666667,20.833333333333332
emass_min,dkl_finetune,30,1.1004546402377893,0.951475912739354,1.2514444973550096,-2.1028880825578375,-2.327220723813374,-1.8818636691184247,16.666666666666668,15.1,18.1,21.5,19.7,23.166666666666668
emass_min,dkl_frozen,30,1.34407505603849,1.1895053861697866,1.4796695127658517,-1.7435368623890886,-1.921335794794751,-1.584051492201674,15.7,13.6,17.833333333333332,21.0,18.7,23.266666666666666
emass_min,random,30,1.5772369383231788,1.5048967686246437,1.6498929300159824,-1.420385359160352,-1.55221571766337,-1.3197504149816954,7.166666666666667,6.2,8.166666666666666,10.366666666666667,9.365833333333335,11.4
emass_min,std_gp,30,1.213307283306402,1.0562799612426605,1.3624799442058473,-1.9711163804370908,-2.1852690845162788,-1.7662890600371373,15.9,14.199166666666667,17.566666666666666,21.2,19.1,23.2
gap_max,dkl_cold_live,30,1.5877051917377456,1.3323191279026811,1.831638366302163,7.854120208158743,7.555199304522791,8.155792982687457,20.3,18.633333333333333,21.866666666666667,30.166666666666668,27.866666666666667,32.266666666666666
gap_max,dkl_finetune,30,1.095406869117157,0.8947644522577446,1.297830967176336,8.399557282065446,8.195268710433725,8.581167555279722,25.3,23.966666666666665,26.7,35.4,33.233333333333334,37.733333333333334
gap_max,dkl_frozen,30,0.8533641568972848,0.6730300076429732,1.0359147129882893,8.56859872804105,8.462746704918567,8.645205314113262,31.5,30.333333333333332,32.733333333333334,42.666666666666664,41.2,44.166666666666664
gap_max,random,30,2.011759823639089,1.7525957222949853,2.2610149867571137,7.499950394990425,7.189058265903244,7.808687906483645,6.833333333333333,6.0,7.7,9.966666666666667,8.966666666666667,11.0
gap_max,std_gp,30,0.713940669295495,0.5350390970986454,0.9062886033689902,8.677813595662284,8.670567310873613,8.68143673805662,21.966666666666665,20.533333333333335,23.366666666666667,29.766666666666666,27.933333333333334,31.533333333333335
gap_min,dkl_cold_live,30,0.09982893997820946,0.07040718818496923,0.1341823905645029,0.03204681572827913,0.02579779932503426,0.040679093254668834,15.533333333333333,14.1,16.966666666666665,24.766666666666666,22.366666666666667,27.2
gap_min,dkl_finetune,30,0.07840394425090791,0.05552912935612227,0.10559558992449739,0.027837305838725256,0.02422808906436153,0.03252761301867902,17.0,15.733333333333333,18.333333333333332,26.133333333333333,23.933333333333334,28.433333333333334
gap_min,dkl_frozen,30,0.06280279375913174,0.04545528407653165,0.08116527737116556,0.024810357102106297,0.023414510386706427,0.026197038398012587,20.6,19.4325,21.733333333333334,28.433333333333334,26.866666666666667,29.966666666666665
gap_min,random,30,0.14631916282513643,0.10741286779294293,0.18757283305266081,0.05429125903564921,0.038013158324600727,0.07458934814257637,6.6,5.966666666666667,7.233333333333333,10.3,9.5,11.1
gap_min,std_gp,30,0.07778888523120676,0.05692457348770797,0.10201250815697206,0.024227043108782712,0.021352281945322335,0.028580357313231185,19.1,17.633333333333333,20.566666666666666,27.766666666666666,25.833333333333332,29.766666666666666
