task,method,seed,regret_auc,final_best,final_top50,final_top10pct
gap_min,std_gp,0,0.022829689999999996,0.021906,12,61
gap_min,std_gp,1,0.03335000999999999,0.02219,10,51
gap_min,std_gp,2,0.04375811000000003,0.021906,10,53
gap_min,std_gp,3,0.018538200000000282,0.021906,15,52
gap_min,std_gp,4,0.17326415000000012,0.022645,11,57
gap_min,std_gp,5,0.22808088999999998,0.021906,12,68
gap_min,std_gp,6,0.02879008,0.021906,9,50
gap_min,std_gp,7,0.05781919999999998,0.034873,5,42
gap_min,std_gp,8,0.053938390000000024,0.056917,7,44
gap_min,std_gp,9,0.15658892000000013,0.0387140000000005,8,42
