metric,dkl_method,crossover_cycle,final_dkl,final_std_gp
best_inwin_gap,dkl_frozen,93.0,2.9624811,2.961967
best_inwin_gap,dkl_finetune,71.0,2.9654910000000005,2.961967
cumul_top50,dkl_frozen,,1.3,1.4
cumul_top50,dkl_finetune,73.0,1.6,1.4
